Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
252,0.56,1.88,1.86,2.94,68058.39416,108828.169,106175,457333.3333,
253,0.58,1.87,1.86,2.92,71007.35294,107492.3077,106175,430315.7895,
254,0.57,1.89,1.83,2.94,69527.47253,110182.9787,102330.6122,457333.3333,
255,0.58,1.9,1.81,2.94,71007.35294,111557.1429,99853.69128,457333.3333,
256,0.58,1.89,1.82,2.95,71007.35294,110182.9787,101083.7838,472000,
257,0.57,1.88,1.82,2.94,69527.47253,108828.169,101083.7838,457333.3333,
258,0.56,1.88,1.83,2.93,68058.39416,108828.169,102330.6122,443459.4595,
259,0.57,1.86,1.86,2.91,69527.47253,106175,106175,417846.1538,
260,0.57,1.91,1.82,2.92,69527.47253,112951.0791,101083.7838,430315.7895,
261,0.59,1.91,1.82,2.93,72498.15498,112951.0791,101083.7838,443459.4595,
262,0.58,1.9,1.83,2.94,71007.35294,111557.1429,102330.6122,457333.3333,
263,0.58,1.87,1.83,2.93,71007.35294,107492.3077,102330.6122,443459.4595,
264,0.59,1.85,1.85,2.94,72498.15498,104875.8621,104875.8621,457333.3333,
265,0.61,1.89,1.84,2.94,75513.01115,110182.9787,103594.5205,457333.3333,
266,0.58,1.91,1.92,2.96,71007.35294,112951.0791,114365.2174,487529.4118,
267,0.61,1.91,2.17,2.95,75513.01115,112951.0791,157853.0973,472000,
268,0.57,1.89,1.94,2.96,69527.47253,110182.9787,117255.8824,487529.4118,
269,0.58,1.9,1.92,2.96,71007.35294,111557.1429,114365.2174,487529.4118,
270,0.58,1.91,1.88,2.96,71007.35294,112951.0791,108828.169,487529.4118,
271,0.57,1.91,1.9,2.97,69527.47253,112951.0791,111557.1429,504000,
272,0.58,1.89,1.9,2.97,71007.35294,110182.9787,111557.1429,504000,
273,0.57,1.88,1.89,2.96,69527.47253,108828.169,110182.9787,487529.4118,
274,0.57,1.91,1.9,2.95,69527.47253,112951.0791,111557.1429,472000,
